,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
age,-0.29475037145151495,0.37045193886502464,0.06405447045842139,0.5964083006074187,0.6319363723480838,0.09825107435028682,-0.056426595449244527,0.062152919951555655,0.005252397831967075,0.0032182570245912864
daily_screen_time_min,0.3256172710567308,-0.3657618989400969,0.014177471639975285,0.0977644208705516,0.26138638958997745,0.06031602389090636,-0.04350274873959431,-0.0853109651760802,0.2935274122928222,0.7636380584332202
social_media_time_min,0.3315189641847062,0.26562882665726717,0.21780272049429725,-0.06530717486291107,0.10604548393701671,0.05897172456409986,0.8677858002372232,0.007522243884558767,0.0008351811476742939,-0.0008154482357979037
negative_interactions_count,0.2673609028029922,0.40014458959833227,-0.5513933988084507,-0.48217807167691606,0.41851735591821554,-0.15373775639921214,-0.16250662162196894,-0.08167970270743018,-7.805350855473601e-05,0.00015832497701577964
positive_interactions_count,0.27269767584380483,0.2932118083010543,0.7697403622035527,-0.22527200643703316,0.08075113466284523,-0.16664836168554437,-0.4025419284315469,-0.009071863032574843,-0.00042628271663406843,0.00045189573043671806
sleep_hours,-0.32515150852617525,0.3658684315294018,-0.015294442226365359,-0.10472548021114307,-0.26924629696613206,-0.06038229119413318,0.04370308306182092,0.09612576451167835,0.8033021464681458,0.12896275056262196
physical_activity_min,-0.32552590973116213,0.3655601136108309,-0.014246977324207984,-0.09976065593435844,-0.2641055213973999,-0.05892871450822521,0.045210274707568346,0.07985510961811831,-0.5180636354437593,0.6326203149825034
anxiety_level,0.3234965798199974,0.3105931237464267,-0.09686975931897594,0.14561141675310538,-0.28342603896353497,0.7883560092984818,-0.20092711243990266,-0.16150783643152,0.0013433555320747938,-0.0012775214037853975
stress_level,0.35510718858190266,0.058622487234843604,-0.13473233851922858,0.20617586742420976,-0.12668251567660688,-0.11145340665487721,-0.08882936404018332,0.8793927051140625,-0.01021420219369618,0.002039601352202652
mood_level,-0.33000475603465085,-0.21198460611671338,0.1541091949346661,-0.5124453849189459,0.3174686359624102,0.5392387146916957,0.03473701240625675,0.4086750358221208,-0.004773027631049798,0.00013529907249284156
